Height (cm),No. of leaves,Total length of leaves (cm)
12.0,12.0,12.0
64.0,31.166666666666668,280.0833333333333
6.0902306270706275,8.579397450057936,49.07037308958956
58.0,21.0,207.0
58.0,26.75,249.75
62.5,28.5,273.5
70.0,31.25,299.25
72.0,52.0,394.0
