Growth Parameter,F-statistic,P-value,Rejected null hypothesis
Height (cm),35.767413541159286,5.46604776536164e-09,True
No. of leaves,10.015194147439503,0.000398860189319286,True
Total length of leaves (cm),22.124685351296613,8.039209186028082e-07,True
