Height (cm),No. of leaves,Total length of leaves (cm)
12.0,12.0,12.0
48.833333333333336,34.25,247.16666666666666
7.469128382072354,6.607502622707834,37.81253600048374
36.0,23.0,192.0
44.75,29.0,224.25
47.5,37.0,240.0
52.25,39.0,275.25
64.0,42.0,326.0
